Stage,Crop,Soybean,RateUS,RateM,IR
R2 (Full flower),4,Conventional,0,0,0
R2 (Full flower),4,Conventional,0,0,0
R2 (Full flower),4,Conventional,0,0,0
R2 (Full flower),4,Conventional,0,0,0
R2 (Full flower),4,Conventional,0.01067,0.37345,10
R2 (Full flower),4,Conventional,0.01067,0.37345,10
R2 (Full flower),4,Conventional,0.01067,0.37345,15
R2 (Full flower),4,Conventional,0.01067,0.37345,10
R2 (Full flower),4,Conventional,0.016,0.56,15
R2 (Full flower),4,Conventional,0.016,0.56,15
R2 (Full flower),4,Conventional,0.016,0.56,15
R2 (Full flower),4,Conventional,0.016,0.56,10
R2 (Full flower),4,Conventional,0.032,1.12,15
R2 (Full flower),4,Conventional,0.032,1.12,20
R2 (Full flower),4,Conventional,0.032,1.12,20
R2 (Full flower),4,Conventional,0.032,1.12,15
R2 (Full flower),4,Conventional,0.16,5.6,20
R2 (Full flower),4,Conventional,0.16,5.6,20
R2 (Full flower),4,Conventional,0.16,5.6,30
R2 (Full flower),4,Conventional,0.16,5.6,20
R2 (Full flower),4,Conventional,1.6,56,35
R2 (Full flower),4,Conventional,1.6,56,40
R2 (Full flower),4,Conventional,1.6,56,50
R2 (Full flower),4,Conventional,1.6,56,50
R2 (Full flower),3,Glufosinate,0,0,0
R2 (Full flower),3,Glufosinate,0,0,0
R2 (Full flower),3,Glufosinate,0,0,0
R2 (Full flower),3,Glufosinate,0,0,0
R2 (Full flower),3,Glufosinate,0.01067,0.37345,10
R2 (Full flower),3,Glufosinate,0.01067,0.37345,20
R2 (Full flower),3,Glufosinate,0.01067,0.37345,15
R2 (Full flower),3,Glufosinate,0.01067,0.37345,20
R2 (Full flower),3,Glufosinate,0.016,0.56,10
R2 (Full flower),3,Glufosinate,0.016,0.56,10
R2 (Full flower),3,Glufosinate,0.016,0.56,15
R2 (Full flower),3,Glufosinate,0.016,0.56,10
R2 (Full flower),3,Glufosinate,0.032,1.12,10
R2 (Full flower),3,Glufosinate,0.032,1.12,20
R2 (Full flower),3,Glufosinate,0.032,1.12,15
R2 (Full flower),3,Glufosinate,0.032,1.12,10
R2 (Full flower),3,Glufosinate,0.16,5.6,20
R2 (Full flower),3,Glufosinate,0.16,5.6,20
R2 (Full flower),3,Glufosinate,0.16,5.6,40
R2 (Full flower),3,Glufosinate,0.16,5.6,40
R2 (Full flower),3,Glufosinate,1.6,56,30
R2 (Full flower),3,Glufosinate,1.6,56,60
R2 (Full flower),3,Glufosinate,1.6,56,50
R2 (Full flower),3,Glufosinate,1.6,56,60
R2 (Full flower),2,Glyphosate,0,0,0
R2 (Full flower),2,Glyphosate,0,0,0
R2 (Full flower),2,Glyphosate,0,0,0
R2 (Full flower),2,Glyphosate,0,0,0
R2 (Full flower),2,Glyphosate,0.01067,0.37345,5
R2 (Full flower),2,Glyphosate,0.01067,0.37345,10
R2 (Full flower),2,Glyphosate,0.01067,0.37345,15
R2 (Full flower),2,Glyphosate,0.01067,0.37345,15
R2 (Full flower),2,Glyphosate,0.016,0.56,5
R2 (Full flower),2,Glyphosate,0.016,0.56,10
R2 (Full flower),2,Glyphosate,0.016,0.56,10
R2 (Full flower),2,Glyphosate,0.016,0.56,15
R2 (Full flower),2,Glyphosate,0.032,1.12,10
R2 (Full flower),2,Glyphosate,0.032,1.12,10
R2 (Full flower),2,Glyphosate,0.032,1.12,10
R2 (Full flower),2,Glyphosate,0.032,1.12,15
R2 (Full flower),2,Glyphosate,0.16,5.6,20
R2 (Full flower),2,Glyphosate,0.16,5.6,30
R2 (Full flower),2,Glyphosate,0.16,5.6,40
R2 (Full flower),2,Glyphosate,0.16,5.6,25
R2 (Full flower),2,Glyphosate,1.6,56,40
R2 (Full flower),2,Glyphosate,1.6,56,50
R2 (Full flower),2,Glyphosate,1.6,56,50
R2 (Full flower),2,Glyphosate,1.6,56,40
R2 (Full flower),6,Grape,0,0,0
R2 (Full flower),6,Grape,0,0,0
R2 (Full flower),6,Grape,0,0,0
R2 (Full flower),6,Grape,0,0,0
R2 (Full flower),6,Grape,0.01067,0.37345,5
R2 (Full flower),6,Grape,0.01067,0.37345,5
R2 (Full flower),6,Grape,0.01067,0.37345,5
R2 (Full flower),6,Grape,0.01067,0.37345,10
R2 (Full flower),6,Grape,0.016,0.56,5
R2 (Full flower),6,Grape,0.016,0.56,5
R2 (Full flower),6,Grape,0.016,0.56,1
R2 (Full flower),6,Grape,0.016,0.56,5
R2 (Full flower),6,Grape,0.032,1.12,10
R2 (Full flower),6,Grape,0.032,1.12,5
R2 (Full flower),6,Grape,0.032,1.12,10
R2 (Full flower),6,Grape,0.032,1.12,5
R2 (Full flower),6,Grape,0.16,5.6,10
R2 (Full flower),6,Grape,0.16,5.6,5
R2 (Full flower),6,Grape,0.16,5.6,10
R2 (Full flower),6,Grape,0.16,5.6,10
R2 (Full flower),6,Grape,1.6,56,10
R2 (Full flower),6,Grape,1.6,56,30
R2 (Full flower),6,Grape,1.6,56,10
R2 (Full flower),6,Grape,1.6,56,30
R2 (Full flower),5,Organic,0,0,0
R2 (Full flower),5,Organic,0,0,0
R2 (Full flower),5,Organic,0,0,0
R2 (Full flower),5,Organic,0,0,0
R2 (Full flower),5,Organic,0.01067,0.37345,10
R2 (Full flower),5,Organic,0.01067,0.37345,10
R2 (Full flower),5,Organic,0.01067,0.37345,20
R2 (Full flower),5,Organic,0.01067,0.37345,10
R2 (Full flower),5,Organic,0.016,0.56,20
R2 (Full flower),5,Organic,0.016,0.56,20
R2 (Full flower),5,Organic,0.016,0.56,20
R2 (Full flower),5,Organic,0.016,0.56,15
R2 (Full flower),5,Organic,0.032,1.12,20
R2 (Full flower),5,Organic,0.032,1.12,20
R2 (Full flower),5,Organic,0.032,1.12,30
R2 (Full flower),5,Organic,0.032,1.12,20
R2 (Full flower),5,Organic,0.16,5.6,50
R2 (Full flower),5,Organic,0.16,5.6,30
R2 (Full flower),5,Organic,0.16,5.6,30
R2 (Full flower),5,Organic,0.16,5.6,30
R2 (Full flower),5,Organic,1.6,56,70
R2 (Full flower),5,Organic,1.6,56,70
R2 (Full flower),5,Organic,1.6,56,70
R2 (Full flower),5,Organic,1.6,56,50
R2 (Full flower),7,Tomato,0,0,0
R2 (Full flower),7,Tomato,0,0,0
R2 (Full flower),7,Tomato,0,0,0
R2 (Full flower),7,Tomato,0,0,0
R2 (Full flower),7,Tomato,0.01067,0.37345,10
R2 (Full flower),7,Tomato,0.01067,0.37345,20
R2 (Full flower),7,Tomato,0.01067,0.37345,30
R2 (Full flower),7,Tomato,0.01067,0.37345,20
R2 (Full flower),7,Tomato,0.016,0.56,10
R2 (Full flower),7,Tomato,0.016,0.56,20
R2 (Full flower),7,Tomato,0.016,0.56,10
R2 (Full flower),7,Tomato,0.016,0.56,10
R2 (Full flower),7,Tomato,0.032,1.12,30
R2 (Full flower),7,Tomato,0.032,1.12,10
R2 (Full flower),7,Tomato,0.032,1.12,20
R2 (Full flower),7,Tomato,0.032,1.12,30
R2 (Full flower),7,Tomato,0.16,5.6,30
R2 (Full flower),7,Tomato,0.16,5.6,20
R2 (Full flower),7,Tomato,0.16,5.6,20
R2 (Full flower),7,Tomato,0.16,5.6,20
R2 (Full flower),7,Tomato,1.6,56,95
R2 (Full flower),7,Tomato,1.6,56,50
R2 (Full flower),7,Tomato,1.6,56,40
R2 (Full flower),7,Tomato,1.6,56,40
