REP,Treatment,Application,Stage,Crop,Soybean,RateUS,Dilution,RateM,DW,BR
1,19,1,2nd Trifoliate,4,Conventional,0,0,0,22.5,-7.015457788
3,19,1,2nd Trifoliate,4,Conventional,0,0,0,19,9.631391201
2,19,1,2nd Trifoliate,4,Conventional,0,0,0,20.6,2.021403092
4,19,1,2nd Trifoliate,4,Conventional,0,0,0,22,-4.637336504
3,24,1,2nd Trifoliate,4,Conventional,0.01067,1/1500,0.37345,19.7,6.302021403
1,24,1,2nd Trifoliate,4,Conventional,0.01067,1/1500,0.37345,18.4,12.48513674
2,24,1,2nd Trifoliate,4,Conventional,0.01067,1/1500,0.37345,18,14.38763377
4,24,1,2nd Trifoliate,4,Conventional,0.01067,1/1500,0.37345,14.7,30.08323424
3,23,1,2nd Trifoliate,4,Conventional,0.016,1/1000,0.56,22.9,-8.917954816
2,23,1,2nd Trifoliate,4,Conventional,0.016,1/1000,0.56,21,0.118906064
1,23,1,2nd Trifoliate,4,Conventional,0.016,1/1000,0.56,14.7,30.08323424
4,23,1,2nd Trifoliate,4,Conventional,0.016,1/1000,0.56,21.3,-1.307966706
3,22,1,2nd Trifoliate,4,Conventional,0.032,1/500,1.12,19.4,7.728894174
1,22,1,2nd Trifoliate,4,Conventional,0.032,1/500,1.12,19.7,6.302021403
2,22,1,2nd Trifoliate,4,Conventional,0.032,1/500,1.12,19,9.631391201
4,22,1,2nd Trifoliate,4,Conventional,0.032,1/500,1.12,21.8,-3.68608799
3,21,1,2nd Trifoliate,4,Conventional,0.16,1/100,5.6,14,33.41260404
2,21,1,2nd Trifoliate,4,Conventional,0.16,1/100,5.6,17.3,17.71700357
1,21,1,2nd Trifoliate,4,Conventional,0.16,1/100,5.6,11.6,44.82758621
4,21,1,2nd Trifoliate,4,Conventional,0.16,1/100,5.6,16.8,20.09512485
1,20,1,2nd Trifoliate,4,Conventional,1.6,10-Jan,56,3.9,81.45065398
3,20,1,2nd Trifoliate,4,Conventional,1.6,10-Jan,56,9.6,54.34007134
2,20,1,2nd Trifoliate,4,Conventional,1.6,10-Jan,56,10.2,51.4863258
4,20,1,2nd Trifoliate,4,Conventional,1.6,10-Jan,56,9.3,55.76694411
2,13,1,2nd Trifoliate,3,Glufosinate,0,0,0,16.5,15.49295775
3,13,1,2nd Trifoliate,3,Glufosinate,0,0,0,23,-17.79769526
4,13,1,2nd Trifoliate,3,Glufosinate,0,0,0,21,-7.554417414
1,13,1,2nd Trifoliate,3,Glufosinate,0,0,0,17.6,9.85915493
2,18,1,2nd Trifoliate,3,Glufosinate,0.01067,1/1500,0.37345,14.8,24.19974392
3,18,1,2nd Trifoliate,3,Glufosinate,0.01067,1/1500,0.37345,21.6,-10.62740077
4,18,1,2nd Trifoliate,3,Glufosinate,0.01067,1/1500,0.37345,17.3,11.39564661
1,18,1,2nd Trifoliate,3,Glufosinate,0.01067,1/1500,0.37345,23.3,-19.33418694
2,17,1,2nd Trifoliate,3,Glufosinate,0.016,1/1000,0.56,24.5,-25.48015365
3,17,1,2nd Trifoliate,3,Glufosinate,0.016,1/1000,0.56,19.2,1.66453265
4,17,1,2nd Trifoliate,3,Glufosinate,0.016,1/1000,0.56,13.4,31.37003841
1,17,1,2nd Trifoliate,3,Glufosinate,0.016,1/1000,0.56,14.1,27.78489117
2,16,1,2nd Trifoliate,3,Glufosinate,0.032,1/500,1.12,33.4,-71.06274008
3,16,1,2nd Trifoliate,3,Glufosinate,0.032,1/500,1.12,23.4,-19.84635083
4,16,1,2nd Trifoliate,3,Glufosinate,0.032,1/500,1.12,13.3,31.8822023
1,16,1,2nd Trifoliate,3,Glufosinate,0.032,1/500,1.12,17.4,10.88348271
3,15,1,2nd Trifoliate,3,Glufosinate,0.16,1/100,5.6,17.9,8.322663252
2,15,1,2nd Trifoliate,3,Glufosinate,0.16,1/100,5.6,16,18.05377721
4,15,1,2nd Trifoliate,3,Glufosinate,0.16,1/100,5.6,13.8,29.32138284
1,15,1,2nd Trifoliate,3,Glufosinate,0.16,1/100,5.6,9.9,49.29577465
3,14,1,2nd Trifoliate,3,Glufosinate,1.6,10-Jan,56,7.5,61.58770807
2,14,1,2nd Trifoliate,3,Glufosinate,1.6,10-Jan,56,9.6,50.83226633
