Stage,Crop,Soybean,RateUS,RateM,IR
2nd,4,Conventional,0,0,0
2nd,4,Conventional,0,0,0
2nd,4,Conventional,0,0,0
2nd,4,Conventional,0,0,0
2nd,4,Conventional,0.01067,0.37345,10
2nd,4,Conventional,0.01067,0.37345,20
2nd,4,Conventional,0.01067,0.37345,20
2nd,4,Conventional,0.01067,0.37345,15
2nd,4,Conventional,0.016,0.56,20
2nd,4,Conventional,0.016,0.56,10
2nd,4,Conventional,0.016,0.56,40
2nd,4,Conventional,0.016,0.56,40
2nd,4,Conventional,0.032,1.12,40
2nd,4,Conventional,0.032,1.12,40
2nd,4,Conventional,0.032,1.12,35
2nd,4,Conventional,0.032,1.12,50
2nd,4,Conventional,0.16,5.6,40
2nd,4,Conventional,0.16,5.6,40
2nd,4,Conventional,0.16,5.6,45
2nd,4,Conventional,0.16,5.6,50
2nd,4,Conventional,1.6,56,60
2nd,4,Conventional,1.6,56,80
2nd,4,Conventional,1.6,56,80
2nd,4,Conventional,1.6,56,80
Rtwo,4,Conventional,0,0,0
Rtwo,4,Conventional,0,0,0
Rtwo,4,Conventional,0,0,0
Rtwo,4,Conventional,0,0,0
Rtwo,4,Conventional,0.01067,0.37345,10
Rtwo,4,Conventional,0.01067,0.37345,10
Rtwo,4,Conventional,0.01067,0.37345,15
Rtwo,4,Conventional,0.01067,0.37345,10
Rtwo,4,Conventional,0.016,0.56,15
Rtwo,4,Conventional,0.016,0.56,15
Rtwo,4,Conventional,0.016,0.56,15
Rtwo,4,Conventional,0.016,0.56,10
Rtwo,4,Conventional,0.032,1.12,15
Rtwo,4,Conventional,0.032,1.12,20
Rtwo,4,Conventional,0.032,1.12,20
Rtwo,4,Conventional,0.032,1.12,15
Rtwo,4,Conventional,0.16,5.6,20
Rtwo,4,Conventional,0.16,5.6,20
Rtwo,4,Conventional,0.16,5.6,30
Rtwo,4,Conventional,0.16,5.6,20
Rtwo,4,Conventional,1.6,56,35
Rtwo,4,Conventional,1.6,56,40
Rtwo,4,Conventional,1.6,56,50
Rtwo,4,Conventional,1.6,56,50
