Stage,Crop,Soybean,RateUS,RateM,IR
Rtwo,3,Glufosinate,0,0,0
Rtwo,3,Glufosinate,0,0,0
Rtwo,3,Glufosinate,0,0,0
Rtwo,3,Glufosinate,0,0,0
Rtwo,3,Glufosinate,0.01067,0.37345,10
Rtwo,3,Glufosinate,0.01067,0.37345,20
Rtwo,3,Glufosinate,0.01067,0.37345,15
Rtwo,3,Glufosinate,0.01067,0.37345,20
Rtwo,3,Glufosinate,0.016,0.56,10
Rtwo,3,Glufosinate,0.016,0.56,10
Rtwo,3,Glufosinate,0.016,0.56,15
Rtwo,3,Glufosinate,0.016,0.56,10
Rtwo,3,Glufosinate,0.032,1.12,10
Rtwo,3,Glufosinate,0.032,1.12,20
Rtwo,3,Glufosinate,0.032,1.12,15
Rtwo,3,Glufosinate,0.032,1.12,10
Rtwo,3,Glufosinate,0.16,5.6,20
Rtwo,3,Glufosinate,0.16,5.6,20
Rtwo,3,Glufosinate,0.16,5.6,40
Rtwo,3,Glufosinate,0.16,5.6,40
Rtwo,3,Glufosinate,1.6,56,30
Rtwo,3,Glufosinate,1.6,56,60
Rtwo,3,Glufosinate,1.6,56,50
Rtwo,3,Glufosinate,1.6,56,60
Sec,3,Glufosinate,0,0,0
Sec,3,Glufosinate,0,0,0
Sec,3,Glufosinate,0,0,0
Sec,3,Glufosinate,0,0,0
Sec,3,Glufosinate,0.01067,0.37345,5
Sec,3,Glufosinate,0.01067,0.37345,10
Sec,3,Glufosinate,0.01067,0.37345,15
Sec,3,Glufosinate,0.01067,0.37345,10
Sec,3,Glufosinate,0.016,0.56,25
Sec,3,Glufosinate,0.016,0.56,40
Sec,3,Glufosinate,0.016,0.56,30
Sec,3,Glufosinate,0.016,0.56,30
Sec,3,Glufosinate,0.032,1.12,30
Sec,3,Glufosinate,0.032,1.12,25
Sec,3,Glufosinate,0.032,1.12,40
Sec,3,Glufosinate,0.032,1.12,40
Sec,3,Glufosinate,0.16,5.6,35
Sec,3,Glufosinate,0.16,5.6,40
Sec,3,Glufosinate,0.16,5.6,40
Sec,3,Glufosinate,0.16,5.6,30
Sec,3,Glufosinate,1.6,56,90
Sec,3,Glufosinate,1.6,56,80
Sec,3,Glufosinate,1.6,56,85
Sec,3,Glufosinate,1.6,56,90
