Stage,Crop,Soybean,RateUS,RateM,IR
2nd,2,Glyphosate,0,0,0
2nd,2,Glyphosate,0,0,0
2nd,2,Glyphosate,0,0,0
2nd,2,Glyphosate,0,0,0
2nd,2,Glyphosate,0.01067,0.37345,5
2nd,2,Glyphosate,0.01067,0.37345,10
2nd,2,Glyphosate,0.01067,0.37345,30
2nd,2,Glyphosate,0.01067,0.37345,35
2nd,2,Glyphosate,0.016,0.56,20
2nd,2,Glyphosate,0.016,0.56,15
2nd,2,Glyphosate,0.016,0.56,20
2nd,2,Glyphosate,0.016,0.56,35
2nd,2,Glyphosate,0.032,1.12,30
2nd,2,Glyphosate,0.032,1.12,35
2nd,2,Glyphosate,0.032,1.12,20
2nd,2,Glyphosate,0.032,1.12,50
2nd,2,Glyphosate,0.16,5.6,40
2nd,2,Glyphosate,0.16,5.6,30
2nd,2,Glyphosate,0.16,5.6,30
2nd,2,Glyphosate,0.16,5.6,30
2nd,2,Glyphosate,1.6,56,60
2nd,2,Glyphosate,1.6,56,70
2nd,2,Glyphosate,1.6,56,80
2nd,2,Glyphosate,1.6,56,80
Rtwo,2,Glyphosate,0,0,0
Rtwo,2,Glyphosate,0,0,0
Rtwo,2,Glyphosate,0,0,0
Rtwo,2,Glyphosate,0,0,0
Rtwo,2,Glyphosate,0.01067,0.37345,5
Rtwo,2,Glyphosate,0.01067,0.37345,10
Rtwo,2,Glyphosate,0.01067,0.37345,15
Rtwo,2,Glyphosate,0.01067,0.37345,15
Rtwo,2,Glyphosate,0.016,0.56,5
Rtwo,2,Glyphosate,0.016,0.56,10
Rtwo,2,Glyphosate,0.016,0.56,10
Rtwo,2,Glyphosate,0.016,0.56,15
Rtwo,2,Glyphosate,0.032,1.12,10
Rtwo,2,Glyphosate,0.032,1.12,10
Rtwo,2,Glyphosate,0.032,1.12,10
Rtwo,2,Glyphosate,0.032,1.12,15
Rtwo,2,Glyphosate,0.16,5.6,20
Rtwo,2,Glyphosate,0.16,5.6,30
Rtwo,2,Glyphosate,0.16,5.6,40
Rtwo,2,Glyphosate,0.16,5.6,25
Rtwo,2,Glyphosate,1.6,56,40
Rtwo,2,Glyphosate,1.6,56,50
Rtwo,2,Glyphosate,1.6,56,50
Rtwo,2,Glyphosate,1.6,56,40
