Stage,Crop,Soybean,RateUS,RateM,IR
2nd,6,Grape,0,0,0
2nd,6,Grape,0,0,0
2nd,6,Grape,0,0,0
2nd,6,Grape,0,0,0
2nd,6,Grape,0.01067,0.37345,5
2nd,6,Grape,0.01067,0.37345,5
2nd,6,Grape,0.01067,0.37345,5
2nd,6,Grape,0.01067,0.37345,10
2nd,6,Grape,0.016,0.56,5
2nd,6,Grape,0.016,0.56,5
2nd,6,Grape,0.016,0.56,5
2nd,6,Grape,0.016,0.56,15
2nd,6,Grape,0.032,1.12,15
2nd,6,Grape,0.032,1.12,15
2nd,6,Grape,0.032,1.12,20
2nd,6,Grape,0.032,1.12,30
2nd,6,Grape,0.16,5.6,20
2nd,6,Grape,0.16,5.6,10
2nd,6,Grape,0.16,5.6,30
2nd,6,Grape,0.16,5.6,20
2nd,6,Grape,1.6,56,100
2nd,6,Grape,1.6,56,100
2nd,6,Grape,1.6,56,100
2nd,6,Grape,1.6,56,100
Rtwo,6,Grape,0,0,0
Rtwo,6,Grape,0,0,0
Rtwo,6,Grape,0,0,0
Rtwo,6,Grape,0,0,0
Rtwo,6,Grape,0.01067,0.37345,5
Rtwo,6,Grape,0.01067,0.37345,5
Rtwo,6,Grape,0.01067,0.37345,5
Rtwo,6,Grape,0.01067,0.37345,10
Rtwo,6,Grape,0.016,0.56,5
Rtwo,6,Grape,0.016,0.56,5
Rtwo,6,Grape,0.016,0.56,1
Rtwo,6,Grape,0.016,0.56,5
Rtwo,6,Grape,0.032,1.12,10
Rtwo,6,Grape,0.032,1.12,5
Rtwo,6,Grape,0.032,1.12,10
Rtwo,6,Grape,0.032,1.12,5
Rtwo,6,Grape,0.16,5.6,10
Rtwo,6,Grape,0.16,5.6,5
Rtwo,6,Grape,0.16,5.6,10
Rtwo,6,Grape,0.16,5.6,10
Rtwo,6,Grape,1.6,56,10
Rtwo,6,Grape,1.6,56,30
Rtwo,6,Grape,1.6,56,10
Rtwo,6,Grape,1.6,56,30
