Stage,Crop,Soybean,RateUS,RateM,IR
2nd,5,Organic,0,0,0
2nd,5,Organic,0,0,0
2nd,5,Organic,0,0,0
2nd,5,Organic,0,0,0
2nd,5,Organic,0.01067,0.37345,10
2nd,5,Organic,0.01067,0.37345,20
2nd,5,Organic,0.01067,0.37345,30
2nd,5,Organic,0.01067,0.37345,15
2nd,5,Organic,0.016,0.56,20
2nd,5,Organic,0.016,0.56,20
2nd,5,Organic,0.016,0.56,40
2nd,5,Organic,0.016,0.56,30
2nd,5,Organic,0.032,1.12,40
2nd,5,Organic,0.032,1.12,50
2nd,5,Organic,0.032,1.12,45
2nd,5,Organic,0.032,1.12,60
2nd,5,Organic,0.16,5.6,60
2nd,5,Organic,0.16,5.6,60
2nd,5,Organic,0.16,5.6,70
2nd,5,Organic,0.16,5.6,60
2nd,5,Organic,1.6,56,85
2nd,5,Organic,1.6,56,85
2nd,5,Organic,1.6,56,90
2nd,5,Organic,1.6,56,85
Rtwo,5,Organic,0,0,0
Rtwo,5,Organic,0,0,0
Rtwo,5,Organic,0,0,0
Rtwo,5,Organic,0,0,0
Rtwo,5,Organic,0.01067,0.37345,10
Rtwo,5,Organic,0.01067,0.37345,10
Rtwo,5,Organic,0.01067,0.37345,20
Rtwo,5,Organic,0.01067,0.37345,10
Rtwo,5,Organic,0.016,0.56,20
Rtwo,5,Organic,0.016,0.56,20
Rtwo,5,Organic,0.016,0.56,20
Rtwo,5,Organic,0.016,0.56,15
Rtwo,5,Organic,0.032,1.12,20
Rtwo,5,Organic,0.032,1.12,20
Rtwo,5,Organic,0.032,1.12,30
Rtwo,5,Organic,0.032,1.12,20
Rtwo,5,Organic,0.16,5.6,50
Rtwo,5,Organic,0.16,5.6,30
Rtwo,5,Organic,0.16,5.6,30
Rtwo,5,Organic,0.16,5.6,30
Rtwo,5,Organic,1.6,56,70
Rtwo,5,Organic,1.6,56,70
Rtwo,5,Organic,1.6,56,70
Rtwo,5,Organic,1.6,56,50
