Stage,Crop,Soybean,RateUS,RateM,IR
2nd,7,Tomato,0,0,0
2nd,7,Tomato,0,0,0
2nd,7,Tomato,0,0,0
2nd,7,Tomato,0,0,0
2nd,7,Tomato,0.01067,0.37345,5
2nd,7,Tomato,0.01067,0.37345,10
2nd,7,Tomato,0.01067,0.37345,10
2nd,7,Tomato,0.01067,0.37345,10
2nd,7,Tomato,0.016,0.56,10
2nd,7,Tomato,0.016,0.56,10
2nd,7,Tomato,0.016,0.56,15
2nd,7,Tomato,0.016,0.56,10
2nd,7,Tomato,0.032,1.12,20
2nd,7,Tomato,0.032,1.12,10
2nd,7,Tomato,0.032,1.12,20
2nd,7,Tomato,0.032,1.12,10
2nd,7,Tomato,0.16,5.6,30
2nd,7,Tomato,0.16,5.6,30
2nd,7,Tomato,0.16,5.6,10
2nd,7,Tomato,0.16,5.6,20
2nd,7,Tomato,1.6,56,80
2nd,7,Tomato,1.6,56,80
2nd,7,Tomato,1.6,56,50
2nd,7,Tomato,1.6,56,80
Rtwo,7,Tomato,0,0,0
Rtwo,7,Tomato,0,0,0
Rtwo,7,Tomato,0,0,0
Rtwo,7,Tomato,0,0,0
Rtwo,7,Tomato,0.01067,0.37345,10
Rtwo,7,Tomato,0.01067,0.37345,20
Rtwo,7,Tomato,0.01067,0.37345,30
Rtwo,7,Tomato,0.01067,0.37345,20
Rtwo,7,Tomato,0.016,0.56,10
Rtwo,7,Tomato,0.016,0.56,20
Rtwo,7,Tomato,0.016,0.56,10
Rtwo,7,Tomato,0.016,0.56,10
Rtwo,7,Tomato,0.032,1.12,30
Rtwo,7,Tomato,0.032,1.12,10
Rtwo,7,Tomato,0.032,1.12,20
Rtwo,7,Tomato,0.032,1.12,30
Rtwo,7,Tomato,0.16,5.6,30
Rtwo,7,Tomato,0.16,5.6,20
Rtwo,7,Tomato,0.16,5.6,20
Rtwo,7,Tomato,0.16,5.6,20
Rtwo,7,Tomato,1.6,56,95
Rtwo,7,Tomato,1.6,56,50
Rtwo,7,Tomato,1.6,56,40
Rtwo,7,Tomato,1.6,56,40
