REP,Treatment,Application,Stage,Crop,Soybean,Trt,RateUS,RateM,Rate1,Dilution,PLOT,DAT,IR
1,7,1,2nd Trifoliate,2,Glyphosate,1,0,0,0,0,107,7,0
2,7,,2nd Trifoliate,2,Glyphosate,1,0,0,0,0,237,7,0
3,7,,2nd Trifoliate,2,Glyphosate,1,0,0,0,0,356,7,0
4,7,,2nd Trifoliate,2,Glyphosate,1,0,0,0,0,449,7,0
1,8,1,2nd Trifoliate,2,Glyphosate,2,1.6,56, 1/10,0.1,108,7,50
2,8,1,2nd Trifoliate,2,Glyphosate,2,1.6,56, 1/10,0.1,238,7,50
3,8,1,2nd Trifoliate,2,Glyphosate,2,1.6,56, 1/10,0.1,357,7,50
4,8,1,2nd Trifoliate,2,Glyphosate,2,1.6,56, 1/10,0.1,450,7,55
1,9,1,2nd Trifoliate,2,Glyphosate,3,0.16,5.6,1/100,0.01,109,7,25
2,9,1,2nd Trifoliate,2,Glyphosate,3,0.16,5.6,1/100,0.01,239,7,15
3,9,1,2nd Trifoliate,2,Glyphosate,3,0.16,5.6,1/100,0.01,358,7,25
4,9,1,2nd Trifoliate,2,Glyphosate,3,0.16,5.6,1/100,0.01,453,7,15
1,10,1,2nd Trifoliate,2,Glyphosate,4,0.032,1.12,1/500,0.002,110,7,10
2,10,1,2nd Trifoliate,2,Glyphosate,4,0.032,1.12,1/500,0.002,240,7,15
3,10,1,2nd Trifoliate,2,Glyphosate,4,0.032,1.12,1/500,0.002,355,7,5
4,10,1,2nd Trifoliate,2,Glyphosate,4,0.032,1.12,1/500,0.002,452,7,20
1,11,1,2nd Trifoliate,2,Glyphosate,5,0.016,0.56,1/1000,0.001,111,7,5
2,11,1,2nd Trifoliate,2,Glyphosate,5,0.016,0.56,1/1000,0.001,241,7,10
3,11,1,2nd Trifoliate,2,Glyphosate,5,0.016,0.56,1/1000,0.001,359,7,15
4,11,1,2nd Trifoliate,2,Glyphosate,5,0.016,0.56,1/1000,0.001,454,7,20
1,12,1,2nd Trifoliate,2,Glyphosate,6,0.01067,0.37345,1/1500,0.00067,112,7,5
2,12,1,2nd Trifoliate,2,Glyphosate,6,0.01067,0.37345,1/1500,0.00067,242,7,5
3,12,1,2nd Trifoliate,2,Glyphosate,6,0.01067,0.37345,1/1500,0.00067,360,7,15
4,12,1,2nd Trifoliate,2,Glyphosate,6,0.01067,0.37345,1/1500,0.00067,451,7,20
1,13,1,2nd Trifoliate,3,Glufosinate,1,0,0,0,0,113,7,0
2,13,1,2nd Trifoliate,3,Glufosinate,1,0,0,0,0,209,7,0
3,13,1,2nd Trifoliate,3,Glufosinate,1,0,0,0,0,384,7,0
4,13,1,2nd Trifoliate,3,Glufosinate,1,0,0,0,0,443,7,0
1,14,1,2nd Trifoliate,3,Glufosinate,2,1.6,56, 1/10,0.1,114,7,50
2,14,1,2nd Trifoliate,3,Glufosinate,2,1.6,56, 1/10,0.1,211,7,60
3,14,1,2nd Trifoliate,3,Glufosinate,2,1.6,56, 1/10,0.1,379,7,60
4,14,1,2nd Trifoliate,3,Glufosinate,2,1.6,56, 1/10,0.1,448,7,70
1,15,1,2nd Trifoliate,3,Glufosinate,3,0.16,5.6,1/100,0.01,115,7,25
2,15,1,2nd Trifoliate,3,Glufosinate,3,0.16,5.6,1/100,0.01,212,7,20
3,15,1,2nd Trifoliate,3,Glufosinate,3,0.16,5.6,1/100,0.01,380,7,25
4,15,1,2nd Trifoliate,3,Glufosinate,3,0.16,5.6,1/100,0.01,446,7,30
1,16,1,2nd Trifoliate,3,Glufosinate,4,0.032,1.12,1/500,0.002,116,7,10
2,16,1,2nd Trifoliate,3,Glufosinate,4,0.032,1.12,1/500,0.002,207,7,20
3,16,1,2nd Trifoliate,3,Glufosinate,4,0.032,1.12,1/500,0.002,383,7,20
4,16,1,2nd Trifoliate,3,Glufosinate,4,0.032,1.12,1/500,0.002,444,7,30
1,17,1,2nd Trifoliate,3,Glufosinate,5,0.016,0.56,1/1000,0.001,117,7,10
2,17,1,2nd Trifoliate,3,Glufosinate,5,0.016,0.56,1/1000,0.001,210,7,15
3,17,1,2nd Trifoliate,3,Glufosinate,5,0.016,0.56,1/1000,0.001,382,7,15
4,17,1,2nd Trifoliate,3,Glufosinate,5,0.016,0.56,1/1000,0.001,445,7,20
1,18,1,2nd Trifoliate,3,Glufosinate,6,0.01067,0.37345,1/1500,0.00067,118,7,5
2,18,1,2nd Trifoliate,3,Glufosinate,6,0.01067,0.37345,1/1500,0.00067,208,7,10
3,18,1,2nd Trifoliate,3,Glufosinate,6,0.01067,0.37345,1/1500,0.00067,381,7,5
4,18,1,2nd Trifoliate,3,Glufosinate,6,0.01067,0.37345,1/1500,0.00067,447,7,20
1,19,1,2nd Trifoliate,4,Conventional,1,0,0,0,0,119,7,0
2,19,1,2nd Trifoliate,4,Conventional,1,0,0,0,0,229,7,0
3,19,1,2nd Trifoliate,4,Conventional,1,0,0,0,0,371,7,0
4,19,1,2nd Trifoliate,4,Conventional,1,0,0,0,0,465,7,0
2,20,1,2nd Trifoliate,4,Conventional,2,1.6,56, 1/10,0.1,227,7,50
3,20,1,2nd Trifoliate,4,Conventional,2,1.6,56, 1/10,0.1,372,7,60
4,20,1,2nd Trifoliate,4,Conventional,2,1.6,56, 1/10,0.1,462,7,60
1,20,1,2nd Trifoliate,4,Conventional,2,1.6,56, 1/10,0.1,120,7,50
1,21,1,2nd Trifoliate,4,Conventional,3,0.16,5.6,1/100,0.01,121,7,20
2,21,1,2nd Trifoliate,4,Conventional,3,0.16,5.6,1/100,0.01,226,7,20
3,21,1,2nd Trifoliate,4,Conventional,3,0.16,5.6,1/100,0.01,370,7,30
4,21,1,2nd Trifoliate,4,Conventional,3,0.16,5.6,1/100,0.01,463,7,25
1,22,1,2nd Trifoliate,4,Conventional,4,0.032,1.12,1/500,0.002,122,7,15
