REP,Treatment,Application,Stage,Crop,Soybean,RateUS,Dilution,RateM,DAT,IR
1,61,2,R2 (Full flower),4,Conventional,0,0,0,8,0
2,61,2,R2 (Full flower),4,Conventional,0,0,0,8,0
3,61,2,R2 (Full flower),4,Conventional,0,0,0,8,0
4,61,2,R2 (Full flower),4,Conventional,0,0,0,8,0
1,66,2,R2 (Full flower),4,Conventional,0.01067,1/1500,0.37345,8,10
2,66,2,R2 (Full flower),4,Conventional,0.01067,1/1500,0.37345,8,10
3,66,2,R2 (Full flower),4,Conventional,0.01067,1/1500,0.37345,8,10
4,66,2,R2 (Full flower),4,Conventional,0.01067,1/1500,0.37345,8,10
1,65,2,R2 (Full flower),4,Conventional,0.016,1/1000,0.56,8,10
2,65,2,R2 (Full flower),4,Conventional,0.016,1/1000,0.56,8,10
3,65,2,R2 (Full flower),4,Conventional,0.016,1/1000,0.56,8,10
4,65,2,R2 (Full flower),4,Conventional,0.016,1/1000,0.56,8,10
1,64,2,R2 (Full flower),4,Conventional,0.032,1/500,1.12,8,10
2,64,2,R2 (Full flower),4,Conventional,0.032,1/500,1.12,8,10
3,64,2,R2 (Full flower),4,Conventional,0.032,1/500,1.12,8,10
4,64,2,R2 (Full flower),4,Conventional,0.032,1/500,1.12,8,10
1,63,2,R2 (Full flower),4,Conventional,0.16,1/100,5.6,8,20
2,63,2,R2 (Full flower),4,Conventional,0.16,1/100,5.6,8,10
3,63,2,R2 (Full flower),4,Conventional,0.16,1/100,5.6,8,25
4,63,2,R2 (Full flower),4,Conventional,0.16,1/100,5.6,8,10
1,62,2,R2 (Full flower),4,Conventional,1.6,10-Jan,56,8,40
2,62,2,R2 (Full flower),4,Conventional,1.6,10-Jan,56,8,30
3,62,2,R2 (Full flower),4,Conventional,1.6,10-Jan,56,8,35
4,62,2,R2 (Full flower),4,Conventional,1.6,10-Jan,56,8,30
1,55,2,R2 (Full flower),3,Glufosinate,0,0,0,8,0
2,55,2,R2 (Full flower),3,Glufosinate,0,0,0,8,0
3,55,2,R2 (Full flower),3,Glufosinate,0,0,0,8,0
4,55,2,R2 (Full flower),3,Glufosinate,0,0,0,8,0
1,60,2,R2 (Full flower),3,Glufosinate,0.01067,1/1500,0.37345,8,10
2,60,2,R2 (Full flower),3,Glufosinate,0.01067,1/1500,0.37345,8,10
3,60,2,R2 (Full flower),3,Glufosinate,0.01067,1/1500,0.37345,8,10
4,60,2,R2 (Full flower),3,Glufosinate,0.01067,1/1500,0.37345,8,10
1,59,2,R2 (Full flower),3,Glufosinate,0.016,1/1000,0.56,8,10
2,59,2,R2 (Full flower),3,Glufosinate,0.016,1/1000,0.56,8,10
3,59,2,R2 (Full flower),3,Glufosinate,0.016,1/1000,0.56,8,10
