REP,Treatment,Application,Stage,Crop,Soybean,Rate,RateUS,RateM,Dilution,PLOT,Height inch,Yield bu/A,YIELD,YL
1,19,1,Second,4,Conventional,1,0,0,0,119,44,80.24,5396.221393,-6.246482831
2,19,1,Second,4,Conventional,1,0,0,0,229,42,75.52,5078.796605,0.003310277
3,19,1,Second,4,Conventional,1,0,0,0,371,45,76.1,5117.802194,-0.764672775
4,19,1,Second,4,Conventional,1,0,0,0,465,44,70.23,4723.038739,7.007845349
1,24,1,Second,4,Conventional,6,0.01067,0.37345,1/1500,124,42,71.12,4782.892142,5.829388597
2,24,1,Second,4,Conventional,6,0.01067,0.37345,1/1500,230,44,69.57,4678.65307,7.881757097
3,24,1,Second,4,Conventional,6,0.01067,0.37345,1/1500,369,44,71.52,4809.792548,5.299745114
4,24,1,Second,4,Conventional,6,0.01067,0.37345,1/1500,461,42,72.06,4846.108096,4.584726411
1,23,1,Second,4,Conventional,5,0.016,0.56,1/1000,123,42,72.8,4895.873846,3.604885966
2,23,1,Second,4,Conventional,5,0.016,0.56,1/1000,225,42,71.83,4830.640362,4.889271414
3,23,1,Second,4,Conventional,5,0.016,0.56,1/1000,368,41,72.76,4893.183806,3.657850314
4,23,1,Second,4,Conventional,5,0.016,0.56,1/1000,464,44,66.65,4482.280108,11.74815453
1,22,1,Second,4,Conventional,4,0.032,1.12,1/500,122,40,67.69,4552.221163,10.37108147
2,22,1,Second,4,Conventional,4,0.032,1.12,1/500,228,42,68.63,4615.437116,9.126419283
3,22,1,Second,4,Conventional,4,0.032,1.12,1/500,367,43,71.07,4779.529591,5.895594033
4,22,1,Second,4,Conventional,4,0.032,1.12,1/500,466,40,65.88,4430.496827,12.76771823
1,21,1,Second,4,Conventional,3,0.16,5.6,1/100,121,32,59.56,4005.470416,21.13608528
2,21,1,Second,4,Conventional,3,0.16,5.6,1/100,226,32,69.27,4658.477765,8.278989709
3,21,1,Second,4,Conventional,3,0.16,5.6,1/100,370,32,67.17,4517.250635,11.059618
4,21,1,Second,4,Conventional,3,0.16,5.6,1/100,463,36,65.05,4374.678485,13.86672846
1,20,1,Second,4,Conventional,2,1.6,56,10-Jan,120,28,39.22,2637.584784,48.06845642
2,20,1,Second,4,Conventional,2,1.6,56,10-Jan,227,30,43.98,2957.699612,41.76569897
3,20,1,Second,4,Conventional,2,1.6,56,10-Jan,372,28,39.51,2657.087578,47.6844649
4,20,1,Second,4,Conventional,2,1.6,56,10-Jan,462,28,42.13,2833.285235,44.21530008
1,61,2,Rtwo,4,Conventional,1,0,0,0,161,46,73.43,4938.241985,-4.266950657
2,61,2,Rtwo,4,Conventional,1,0,0,0,283,45,68.13,4581.811609,3.258785942
3,61,2,Rtwo,4,Conventional,1,0,0,0,307,43,67.4,4532.718369,4.295349663
4,61,2,Rtwo,4,Conventional,1,0,0,0,437,44,72.74,4891.838785,-3.287184949
1,66,2,Rtwo,4,Conventional,6,0.01067,0.37345,1/1500,166,42,72.46,4873.008501,-2.889598864
2,66,2,Rtwo,4,Conventional,6,0.01067,0.37345,1/1500,281,41,78.61,5286.60224,-11.62229322
3,66,2,Rtwo,4,Conventional,6,0.01067,0.37345,1/1500,310,42,75.08,5049.206159,-6.609868655
